Cumulative_Index,Post_ID,Timestamp,Platform,Label,Sub_label,URL,Caption_Snippet,Creation_Date,Edition,Primary_Color,Secondary_Color
41,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
42,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
43,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
44,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
45,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
46,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
47,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
48,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
49,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
50,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
51,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
52,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
53,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
54,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
55,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
56,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
57,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
58,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
59,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
60,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
61,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
62,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
63,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
64,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
65,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
66,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
67,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
68,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
69,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
70,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
71,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
72,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
73,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
74,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
75,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
76,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
77,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
78,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
79,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
80,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
81,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
82,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
83,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
84,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
85,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
86,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
87,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
88,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
89,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
90,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
91,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
92,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
93,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
94,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
95,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
96,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
97,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
98,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
99,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
100,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
101,,,FACEBOOK,,,,,,Old Glory Edition,#0A3161,#B31942
102,,2024-02-10 06:42:25,FACEBOOK,,,https://www.facebook.com/stone.laraway/posts/pfbid0ZMiYBPawv8Eefx2Q7qUwsmUVaqPppbrjUBsmJpi3JLyXgc1eN4gyGGCBBgcfNFdgl,"Announcement 📣  Please join if you’re open to discuss real world and local issues pertaining to the United States. Please have an open-mind and respect other people’s opinions. Also respect facts (must be cited) and discuss the topics and never ever mock, ridicule, jeer, and/or make fun of another p",2024-02-10 06:42:25,Old Glory Edition,#0A3161,#B31942
103,,2024-05-25 12:16:17,FACEBOOK,,,https://www.facebook.com/stone.laraway/posts/pfbid0xLWvVWjPu8x724GFw34ixpwui8D6u67heKdNBieauXYfHL4saUxEmYYcmoWBL3bTl,"Just like Frodo, I'm on a mission to destroy the ""ring"" of divisiveness and manipulation, and Trump's ""eye"" is ever watchful, seeking to maintain its grip on power. By acknowledging his gaze, I'm taking a bold step towards challenging his influence. Remember, just as Frodo had Sam by his side, I hav",2024-05-25 12:16:17,Old Glory Edition,#0A3161,#B31942
104,,2024-05-29 06:37:30,FACEBOOK,,,https://www.facebook.com/stone.laraway/posts/pfbid02t5NdAtWMQc8bRQWF4dPT4N2A15BANMjBdzRwP7xpsc5UwemRYiagZrYDcwY1KfWzl,"A New Kind of Leadership  Tired of politics as usual? Meet John Stone Laraway II, a Lincoln Republican running for President (and NJ Senate) on a platform of integrity, democracy, and people over party. No big money, no robocalls - just a commitment to serving the people. Learn more...  If you belie",2024-05-29 06:37:30,Old Glory Edition,#0A3161,#B31942
105,,2024-05-31 14:00:31,FACEBOOK,,,https://www.facebook.com/stone.laraway/posts/pfbid024SU3bbU4axoeJ9oA82DXb3aPUG97UMfw2pGCuWbj3UGWBBRQ5b8XrtqwinFF1JChl,"President Trump's claims of a 'stolen' election are baseless and harmful. It's time to focus on securing our democracy and promoting voter access, not spreading misinformation! #MAGA #KAG #FakeNews #ElectionIntegrity #TruthMatters #PurpleReigns #PurplePill #Stonelaraway2024 #WriteInStonelaraway",2024-05-31 14:00:31,Old Glory Edition,#0A3161,#B31942
106,,2024-06-02 16:29:16,FACEBOOK,,,https://www.facebook.com/stone.laraway/posts/pfbid0SxHwpt6Lh8jr1v6byBTin1G1vLW2M3TdGemxNGxbAK5guNXDEbmv7MNm1YV9DimKl,"Join the movement! As a Lincoln Republican, I stand for individual freedom, reproductive rights, and the power of the people. Take the purple pill and wake up to a future where 'My body. My choice. My vote.' is a reality for all. Let's build a coalition that honors the legacy of Lincoln and the prin",2024-06-02 16:29:16,Old Glory Edition,#0A3161,#B31942
107,,2024-06-03 07:27:09,FACEBOOK,,,https://www.facebook.com/stone.laraway/posts/pfbid02Vzfd2CjJRD7QwGvqykxR6ZbTbvjMDRT3fF9xpHsZNtYBrZwp6ZhoVpq5ur1smKV5l,"As a Lincoln Republican, I'm willing to be the 'Fall Guy' for a broken system, taking responsibility for the mistakes of the past and absorbing the impact of today's political climate. But I won't stop there. I'll use this momentum to drive change, uniting individual liberty with social responsibili",2024-06-03 07:27:09,Old Glory Edition,#0A3161,#B31942
108,,2024-06-04 09:52:30,FACEBOOK,,,https://www.facebook.com/stone.laraway/posts/pfbid02eG6g6gNp7zLkJpe3WfzVeNu9Vd3So9utmiQiWA6N9s8AZ25gVQrpRhWqyfW7eAP2l,"I have a different view on this. On my platform, I am and will never reach out and ask for a donation. The key word here is ‘ask’. I will take a donation, but I won’t ask. Why do you ask? Because I have donated thousands over the years to other candidates and you’re placed on a never ending, loot tr",2024-06-04 09:52:30,Old Glory Edition,#0A3161,#B31942
109,,2024-06-04 10:00:13,FACEBOOK,,,https://www.facebook.com/stone.laraway/posts/pfbid0vKt1f4g6QNxb33VUbcGRQRpyZHJm2bXRWh8JNaNqHkJX55JU2s51NJvr4JmWi1adl,"How about: “Save yourselves” and vote for a candidate who stands for integrity, honesty, trustworthiness, reliability, responsibility, and courage?",2024-06-04 10:00:13,Old Glory Edition,#0A3161,#B31942
110,,2024-06-05 02:44:37,FACEBOOK,,,https://www.facebook.com/stone.laraway/posts/pfbid0x8HX43qjmD1nMLqStfXLRPCNspudjLWqqNC48FCXUw7fcttKeTmEa37rhnfpDXrHl,"While you are sleeping, I would be too, but my brain is in overdrive with ideas, thoughts, and trying to solve how to get Trump Republicans more central on issues, policies, and concerns.   Democrats are not the only solution Using the 'Ticket to Ride' allegory, I believe we need to build a new trai",2024-06-05 02:44:37,Old Glory Edition,#0A3161,#B31942
111,,2024-06-05 07:41:48,FACEBOOK,,,https://www.facebook.com/stone.laraway/posts/pfbid0241MA7kEoDnwJpgZMTfpEnsgpF3WkUoMUqdub2wbe17XJgEe9DVVb9JTBgyxfNmZml,"Joe Parker I do enjoy a good debate from either side of the aisle. I also appreciate adults in the room who adhere to and respect decorum in public discourse. Both sides could learn a thing or two from this style of democratic thinking and conversing.  When you don’t get your way, something goes aga",2024-06-05 07:41:48,Old Glory Edition,#0A3161,#B31942
112,,2024-06-05 14:27:39,FACEBOOK,,,https://www.facebook.com/stone.laraway/posts/pfbid0SebqFHTx91kDowswTjz3JEpaVoPekvoJpdMCy2WJXg4QJjzcuNTstMVF9ynxQh5dl,"'Safe and Sound' by Justice is more than just a song - it's a rallying cry for my Lincoln Republican values! The lyrics 'rise up' resonate deeply, urging me to stand up for freedom, liberty, and truth. The heavy bass pulses through my body and soul, energizing my passion for a better future. Let's r",2024-06-05 14:27:39,Old Glory Edition,#0A3161,#B31942
113,,2024-06-07 05:18:45,FACEBOOK,,,https://www.facebook.com/stone.laraway/posts/pfbid08pbkrRdnLTBwxuKQkB22YCzotfPzvYMN89fELhHeGFS3SqzYUcthmJi3cQxLDraCl,"Rep. Stefanik, your actions are like those of the Empire's darkest leaders, prioritizing power over people and spreading misinformation like a swarm of Imperial TIE fighters. But we, the Rebel Alliance of truth-seekers, won't be swayed. We'll keep shining the light on your deceit and fighting for th",2024-06-07 05:18:45,Old Glory Edition,#0A3161,#B31942
114,,2024-06-09 06:28:26,FACEBOOK,,,https://www.facebook.com/stone.laraway/posts/pfbid02nBmHkwhKU6uro76jzgGE3vmEg3UumzJkijvUSCNy43sS4N8vNyKnCxzcqDMUC9fZl,"I understand the concern, but let's not spread fear. Let's work together to ensure a future where our rights and freedoms are protected. Vote for me and let's build a brighter future for all.  ""Your Voice Matters: Join Stone Laraway's Movement for a Government That Serves All"" #METAAI  ¡¡¡Vote Purpl",2024-06-09 06:28:26,Old Glory Edition,#0A3161,#B31942
115,,2024-06-15 16:50:15,FACEBOOK,,,https://www.facebook.com/stone.laraway/posts/pfbid033pKNRHkVs4LUS5bMHCdYokRf3c2T3qTRgeUwhiB29w44NdPre7MV7jKtQp5aqEESl,"#provincetown #Massachusetts @[552448115493280:69:PTown Community Space.] @[100064598565114:2048:Provincetown]  I would like to clarify my political stance and platform as a Lincoln Republican, which is distinct from Log Cabin Republicans. I am emphasizing my commitment to holding elected officials ",2024-06-15 16:50:15,Old Glory Edition,#0A3161,#B31942
116,,2024-06-16 06:00:17,FACEBOOK,,,https://www.facebook.com/stone.laraway/posts/pfbid0rs3U7bMeyL35ge1AxbcMh7XoPvDfniYgd79JYqs8fyed5W5gV6c2GJGVfC7AUrksl,"Imagine a world where Beethoven's symphonies, Stephen King's dark struggles, Quentin Tarantino's stylized violence, and Robert De Niro's gritty characters unite with the high-octane energy of WWW wrestling, monster truck events, NASCAR, and electronic music. Together, they fuel a rebellion against o",2024-06-16 06:00:17,Old Glory Edition,#0A3161,#B31942
117,,2024-06-17 02:56:39,"'Equality for All' Grooves to Frankie Knuckles' Beat, Taylor Swift's Voice, Penzey's Spicy Justice, and Honest-Tea's Refreshing Support - 'A Little Bit of Justice' for a Brighter Future! #RBG #LincolnRepublicans #EqualityForAll #FrankieKnuckles #TaylorSwift #Penzeysspices #Penzeys #HonestTea #JusticeForAll #LGBTQPlus #GenderEquality #RacialEquality #SocialJustice #Inclusion #Diversity #Unity #RespectForAll #KindnessMatters #PositiveVibesOnly",,,https://www.facebook.com/stone.laraway/posts/pfbid0kZJH6rkRrwsmhrzo9Vu8yrcWKdS1BySeTM3U21kfCcpAAzPcJQQHrqkhPEtV2RRjl,"RBG's Legacy Meets Lincoln Republicans' Platform: 'Equality for All' Grooves to Frankie Knuckles' Beat, Taylor Swift's Voice, Penzey's Spicy Justice, and Honest-Tea's Refreshing Support - 'A Little Bit of Justice' for a Brighter Future! #RBG #LincolnRepublicans #EqualityForAll #FrankieKnuckles #Tayl",2024-06-17 02:56:39,Old Glory Edition,#0A3161,#B31942
118,,2024-06-22 22:29:00,FACEBOOK,,,https://www.facebook.com/stone.laraway/posts/pfbid0D5JgcFafXC1icobQ9LBbPH7B45mZTR1TkD4qewbfjV7LYH4qENa3bWpGuFjzWLaHl,"The Illusion of Choice: RNC and DNC's Stranglehold on Politics  The RNC and DNC's stranglehold on the political process has led to a crisis of representation and accountability. By excluding third parties and independent voices, they're perpetuating a binary system that serves their own interests, n",2024-06-22 22:29:00,Old Glory Edition,#0A3161,#B31942
119,,2024-06-22 22:42:41,FACEBOOK,,,https://www.facebook.com/stone.laraway/posts/pfbid0Yz6NPG9a6psAMMNZFpxbHub6FRxft88PYEQ6TewejvjCLqLdAXwJPLHwNQyN73Mxl,"Adam Kinzinger's Surprise Retirement: A Search for Answers  As the country grapples with polarization and political unrest, Rep. Adam Kinzinger's decision to retire from Congress raises questions. After supporting Trump for years, why is he choosing to exit now? Was it a matter of conscience, politi",2024-06-22 22:42:41,Old Glory Edition,#0A3161,#B31942
120,,2024-06-28 04:36:25,FACEBOOK,,,https://www.facebook.com/stone.laraway/posts/pfbid0nzqPDWtM2cuVZ53VGuvpDikicYWtD3iGHo1Mv8mLUgwNadDUcFi1mSVwyFncwmSBl,"Didn't watch the presidential faux-pas masquerading as a debate last night? Me neither! 🙅‍♂️ No audience, scripted questions, and two candidates who didn't impress. One's a convicted felon and the other struggled to find their words. What a faux-pas for American democracy! #FauxDebate #ElectionRefor",2024-06-28 04:36:25,Old Glory Edition,#0A3161,#B31942
121,,2024-06-28 05:43:01,FACEBOOK,,,https://www.facebook.com/stone.laraway/posts/pfbid0kbGGZGhGjMnDEwF2xbgFqA1V5YJKd7mnTBbjsBahn5gF8s4zzyEpzGVRYZbF39q9l,The distinction between the Lincoln Republicans and the mainstream Republican party  Wrong! Lincoln Republicans would never enable Trump's antics. They'd strip him of the mic and wouldn't have let a convicted felon like him on the ticket in the first place. That's what sets them apart from Republica,2024-06-28 05:43:01,Old Glory Edition,#0A3161,#B31942
122,,2024-06-28 05:49:55,FACEBOOK,,,https://www.facebook.com/stone.laraway/posts/pfbid02E3shzmzf9NvNczk3C3JUGqXrk8Kah3m6k8suRkk31bQCFigYLoQtaz5CwHpfMen6l,"The purple wave is coming! Lincoln Republicans will restore democracy, hold people accountable, and end the duopoly. Don't settle for more of the same. Let's create a better future for our children. #PurpleWave #LincolnRepublicans #EndTheDuopoly #AccountabilityNow #RealChangeForOurChildren",2024-06-28 05:49:55,Old Glory Edition,#0A3161,#B31942
123,,2024-06-28 06:05:32,FACEBOOK,,,https://www.facebook.com/stone.laraway/posts/pfbid02659m45BZeMbiRSyQDbnPZbNr82dgi99wsxhqZWxzu1kmXcmA1q5gGULzAesFkUDyl,"We warned you four years ago that running a corporate-backed candidate like Joe Biden would lead to disastrous consequences, including the rise of authoritarian figures like Trump. Let's learn from our mistakes and work towards creating a more just and equitable society. Let's engage in respectful d",2024-06-28 06:05:32,Old Glory Edition,#0A3161,#B31942
124,,2024-06-28 10:02:43,FACEBOOK,,,https://www.facebook.com/stone.laraway/posts/pfbid0qsbfKkj6ooqANzs4zVrh1NfCdKAj3Jfio93hj5D4mGU7xPfvpbDJSAQDhvKT826Rl,"No. You have more than enough money. Use your ill received money and fund it yourself.   We demand change in the political funding system. I am refusing to donate, instead challenging the Democratic Party to prioritize campaign finance reform and stop relying on small donations from struggling Ameri",2024-06-28 10:02:43,Old Glory Edition,#0A3161,#B31942
125,,2024-06-29 15:14:37,FACEBOOK,,,https://www.facebook.com/stone.laraway/posts/pfbid0T8EMfKmqBEY2zSjWC4ue7bU5m9mpttS8SSiX3kiiz7H4tcnKCT87FKqbtZAJ6TaTl,"""Couldn't agree more! The duopoly has got to go! It's time to break free from the two-party stranglehold and embrace the diversity of thought and representation that other viable candidates offer. Let's expand the conversation and support voices that truly align with our values! #BreakTheDuopoly #Th",2024-06-29 15:14:37,Old Glory Edition,#0A3161,#B31942
126,,2024-06-30 21:11:27,FACEBOOK,,,https://www.facebook.com/stone.laraway/posts/pfbid0NiMPBi4yr65TmniRVoA7LMSihNPeEyH6vVyri4HQHYLCSinSDoBeJjPRdhoDcLfdl,"The President of the United States has a unique role and responsibility, and excuses or comparisons to everyday struggles don't apply. It’s important to hold him accountable in a leadership positions.  The President's job is to serve the nation, not just show up. If they fail to deliver on their pro",2024-06-30 21:11:27,Old Glory Edition,#0A3161,#B31942
127,,2026-01-24 09:26:12,FACEBOOK,,,https://www.facebook.com/stone.laraway/posts/pfbid0Nyy9VTMem6PsChdWfCX5TouDmt997f8Xjo5GgsyGy1qwGoQpQ7L7QRbRC95MuwTel,For those who replied “I don’t piss in the wind” or “I don’t want to rock the boat” or “I don’t want to get involved” or “think it won’t happen to them” or “think it won’t happen here” or “are only concerned about their social security or prescription drugs” or “not in front of the kids” or “not at ,2026-01-24 09:26:12,Old Glory Edition,#0A3161,#B31942
128,,2026-01-28 18:16:04,FACEBOOK,,,https://www.facebook.com/stone.laraway/posts/pfbid02SF7u3Ff9GY9jfVxGjXEyAi4vJrSkwyWjHpo3xWjViso5huRg1LJbUyyL3avg6VVfl,"@[100059479812265:2048:CNN] Town Hall #CNNTownHall #thesourcewithkaitlancollins @[100059494661729:2048:Anderson Cooper 360]  Why isn’t Anderson calling out these Republicans lies about Govenor Waltz?   I’m paraphrasing, “If Waltz had turned over the 1300 list, none of this would have happened.”   La",2026-01-28 18:16:04,Old Glory Edition,#0A3161,#B31942
129,,2026-01-28 18:59:04,FACEBOOK,,,https://www.facebook.com/stone.laraway/posts/pfbid0JJahDpqhmJ8N6nPCnCkBKiyX2KDb9cWHDoFD8nP1kegBR6bTU7sJF2ZpUfcaB6Nql,"Trump continues to weaponize speech and incite potential violence on Truth Social against representatives and CNN want us to believe he’s going to apologize, tone down his vitriolic rhetoric, remove ICE, and hold those accountable?",2026-01-28 18:59:04,Old Glory Edition,#0A3161,#B31942
130,,2026-04-08T00:00:00Z,FACEBOOK,The Hill Post,,https://www.facebook.com/stone.laraway/posts/pfbid0Xaqi9Ez9Z9iNNpNffzorJRtZXa1hAaa7KeB6gV3zAGeJVj6hkV1bpC4sD2myURQAl,"2026-04-08T00:00:00Z   Label: The Hill Post  Sub Label: “BOEBERT: DEMOCRATS 'TAKING OUT THEIR OWN...'”  Words by J Stone Laraway II, edits/revised by MetaAI   Me:  Rep. Lauren Boebert says Democrats are “taking out their own” by backing democratic socialist candidates in primaries.   That’s a politi",2026-07-03 18:25:05,Old Glory Edition,#0A3161,#B31942
131,,2026-04-08T00:00:00Z,FACEBOOK,Washington Times Opinion Post,,https://www.facebook.com/stone.laraway/posts/pfbid02ACkzMxiCKpXQE8mMxg99JsXbT44tteSmUbsW9tUpS18uunx8f7CBiZXFHXsTZrjLl,"2026-04-08T00:00:00Z   Label: Washington Times Opinion Post  Sub Label: “What would Jefferson Fisher do in this situation?”  Words by J Stone Laraway II, edits/revised by MetaAI   Me:  What would Jefferson Fisher do in this situation? Speak plainly, stay composed, and don’t take the bait.   This cur",2026-07-03 15:58:51,Old Glory Edition,#0A3161,#B31942
132,,2026-04-08T00:00:00Z,FACEBOOK,Republicans Facebook Post,,https://www.facebook.com/stone.laraway/posts/pfbid033gZcofXQ7PiBvG3Brjvk6dqrWcvHuixwUuYB9ZCAsgTjFihCBVijzFsR1B5NvZwyl,"2026-04-08T00:00:00Z   Label: Republicans Facebook Post  Sub Label: “ONE DAY TO GO PATRIOTS! 1 DAY until 250 YEARS”  Words by J Stone Laraway II, edits/revised by MetaAI   Me:  More grandstanding. Lincoln Republicans see right through this.   What would Lincoln Republicans do? We most certainly woul",2026-07-03 15:26:46,Old Glory Edition,#0A3161,#B31942
133,,2026-04-08T00:00:00Z,FACEBOOK,Brian Tyler Cohen Post,,https://www.facebook.com/stone.laraway/posts/pfbid02VWi3b5stuzs77ccHJ5SxXNUN4NYFwb469v9bEfDkM8FnTyfdoJQUAzcheihameEQl,"2026-04-08T00:00:00Z   Label: Brian Tyler Cohen Post  Sub Label: “REPUBLICANS OWN JANUARY 6TH.”  Words by J Stone Laraway II, edits/revised by MetaAI   Me:  Partially accurate. Where I differ: we all own January 6th. We all had a choice.   Most quipped online, which does very little. Some spoke out ",2026-07-03 14:28:03,Old Glory Edition,#0A3161,#B31942
134,,2026-04-08T00:00:00Z,FACEBOOK,Lars Mapstead Post,,https://www.facebook.com/stone.laraway/posts/pfbid02jVA3P5mQM6VGUdKYL5es9z2qiD11xtuMTL2wD3kAgGXQbY8dmtc62Y2UiXe1d9aJl,"2026-04-08T00:00:00Z   Label: Lars Mapstead Post  Sub Label: “Socialism is on the rise in America. This will end very badly!”  Words by J Stone Laraway II, edits/revised by MetaAI   Me:  Note: We already have elements of democratic socialism in America. This isn’t new.   Research TDR: Theodore Roose",2026-07-03 14:12:32,Old Glory Edition,#0A3161,#B31942
135,,2026-04-08T00:00:00Z,FACEBOOK,Leaders We Deserve Email,,https://www.facebook.com/stone.laraway/posts/pfbid02HKgYkFN4VXnFCos8xUXpU9p7MzkNjKbcLbeZFZMDMrtSiEDPzLok32X94XAfC8SMl,"@[100094907005609:2048:Leaders We Deserve]   2026-04-08T00:00:00Z   Label: Leaders We Deserve Email  Sub Label: “We’re going on offense against the GOP”  Words by J Stone Laraway II, edits/revised by MetaAI   Me:  Why is “Leaders We Deserve” going on offense against the GOP? Have you learned nothing",2026-07-03 14:08:08,Old Glory Edition,#0A3161,#B31942
136,,2026-04-08T00:00:00Z,FACEBOOK,Stephen Miller,,https://www.facebook.com/stone.laraway/posts/pfbid0rCvqWrxJyE8yJgkJ9JytjVEjgbjWxbNrKjeiyhJh3gsaDKSb6YrcseRMm4mEc5Usl,"2026-04-08T00:00:00Z   Label: Stephen Miller  Sub Label: “A vote for any Democrat” empowers a party threatening America’s security  Words by J Stone Laraway II, edits/revised by MetaAI   Me:  Lincoln Republicans would never say this, nor spread this misinformation of hate and fear for clicks and rat",2026-07-03 13:55:03,Old Glory Edition,#0A3161,#B31942
137,,2026-05-04T20:10:00-04:00,FACEBOOK,Republicans / “MAGA Train”,Lincoln Republican (J. Stone Laraway II brand),https://www.facebook.com/stone.laraway/posts/pfbid02BNoAQzGgrmbe2jeufc4MVnCDaRQyhScTahsSBRt1Yx5UqovEB3trJmmxk7L3RcHel,"2026-05-04T20:10:00-04:00   Words by J. Stone Laraway II, edits/revisions by Meta AI  Label: Republicans / “MAGA Train”   Sub-label: Lincoln Republican (J. Stone Laraway II brand)   Sub-label: Me: “GET IN PATRIOTS, WE’RE MAKING AMERICA GREAT AGAIN”   Symbol vs. Standard + Visual Analysis   Image: Pr",2026-07-03 03:57:31,Old Glory Edition,#0A3161,#B31942
138,,2026-05-04T20:40:00-04:00,FACEBOOK,Dissent / Patriotism,Lincoln Republican (J. Stone Laraway II brand),https://www.facebook.com/stone.laraway/posts/pfbid0ai8Tbfr2eavpQ7puGLsxuwFArveQZ8S8WQqycjo2d9bbp91VrXy32ZYxLpUaxKaul,"2026-05-04T20:40:00-04:00   Words by J. Stone Laraway II, edits/revisions by Meta AI  Label: Dissent / Patriotism   Sub-label: Lincoln Republican (J. Stone Laraway II brand)   Sub-label: Me: “The loudest critics of America still choose to live here. That tells you everything.” - House Republicans   ",2026-07-03 08:45:40,Old Glory Edition,#0A3161,#B31942
139,,2026-05-10 14:41:41,INSTAGRAM,,,https://www.instagram.com/p/DYLHFLTmkW-/,,2026-05-10 14:41:41,Old Glory Edition,#0A3161,#B31942
