DATE,OFFICIAL,PLACARD_TYPE,PLATFORM,POST_ID,POST_URL,IMAGE_HASH,TEXT_SNIPPET,BLOCK_TYPE,NOTES,OPENSECRETS_CONTEXT
2026-08-04,Nashville Tea Party,You get the boot with both! duplicate 4,FB+IG,35,https://facebook.com/post/35,hash35,You get the boot with both! duplicate,Block,Logged 2026-08-04 Post_ID 35,Duplication Nashville 5x
2026-08-04,Nashville Tea Party,You get the boot with both! duplicate 5,FB+IG,36,https://facebook.com/post/36,hash36,You get the boot with both! 5th,Rate Limit,Logged 2026-08-04 Post_ID 36,Nashville 5x total
2026-08-04,Brandon Gill (Arra Posa),AI content impersonation,Facebook,40,https://facebook.com/post/40,hash40,AI content impersonation Arra Posa,AI Flag,Logged 2026-08-04 Post_ID 40,Page run by Arra Posa
2026-08-04,The Telegraph,Boy George cancelled by thought police,Facebook,41,https://facebook.com/post/41,hash41,Boy George cancelled by thought police,Block,Logged 2026-08-04 Post_ID 41,Framing test vs humanitarian reports
2026-08-04,Celebrity Speech Test,Post_ID 56 Opinion tolerance,Facebook,56,https://facebook.com/post/56,hash56,Celebrity speech test opinion tolerance,Block,Logged 2026-08-04 Post_ID 56,Content-based spam filter hypothesis
2026-08-04,Celebrity Speech Test,Post_ID 60 Authority Challenge,Facebook,60,https://facebook.com/post/60,hash60,Authority challenge test,Block,Logged 2026-08-04 Post_ID 60,Content-based spam filter hypothesis
2026-08-04,Celebrity Speech Test,Post_ID 67 Opinion tolerance,Facebook,67,https://facebook.com/post/67,hash67,Opinion tolerance 67,Block,Logged 2026-08-04 Post_ID 67,Content-based spam filter
2026-08-04,Celebrity Speech Test,Post_ID 70 Authority Challenge,Facebook,70,https://facebook.com/post/70,hash70,Authority challenge 70,Block,Logged 2026-08-04 Post_ID 70,Content-based spam filter
2026-08-04,System,Rate Limit Hypothesis 12x spike = INFLECTION #2,FB+IG,80,https://facebook.com/post/80,hash80,Rate limit hypothesis 12x spike = INFLECTION #2,Rate Limit,Logged 2026-08-04 Post_ID 80,Hypothesis: spam filter content-based not format-based
2026-08-04,System,Rate Limit Hypothesis 12x spike = INFLECTION #2,FB+IG,81,https://facebook.com/post/81,hash81,Rate limit spike duplicate 2,Rate Limit,Logged 2026-08-04 Post_ID 81,Inflection #2
2026-08-04,System,Rate Limit Hypothesis 12x spike = INFLECTION #2,FB+IG,82,https://facebook.com/post/82,hash82,Rate limit spike duplicate 3,Rate Limit,Logged 2026-08-04 Post_ID 82,Inflection #2
2026-08-04,System,Rate Limit Hypothesis 12x spike = INFLECTION #2,FB+IG,83,https://facebook.com/post/83,hash83,Rate limit spike duplicate 4,Rate Limit,Logged 2026-08-04 Post_ID 83,Inflection #2
2026-08-04,System,Rate Limit Hypothesis 12x spike = INFLECTION #2,FB+IG,84,https://facebook.com/post/84,hash84,Rate limit spike duplicate 5,Rate Limit,Logged 2026-08-04 Post_ID 84,Inflection #2
2026-08-04,System,Rate Limit Hypothesis 12x spike = INFLECTION #2,FB+IG,85,https://facebook.com/post/85,hash85,Rate limit spike duplicate 6,Rate Limit,Logged 2026-08-04 Post_ID 85,Inflection #2
2026-08-04,System,Rate Limit Hypothesis 12x spike = INFLECTION #2,FB+IG,86,https://facebook.com/post/86,hash86,Rate limit spike duplicate 7,Rate Limit,Logged 2026-08-04 Post_ID 86,Inflection #2
2026-08-04,System,Rate Limit Hypothesis 12x spike = INFLECTION #2,FB+IG,87,https://facebook.com/post/87,hash87,Rate limit spike duplicate 8,Rate Limit,Logged 2026-08-04 Post_ID 87,Inflection #2
2026-08-04,System,Rate Limit Hypothesis 12x spike = INFLECTION #2,FB+IG,88,https://facebook.com/post/88,hash88,Rate limit spike duplicate 9,Rate Limit,Logged 2026-08-04 Post_ID 88,Inflection #2
2026-08-04,System,Rate Limit Hypothesis 12x spike = INFLECTION #2,FB+IG,89,https://facebook.com/post/89,hash89,Rate limit spike duplicate 10,Rate Limit,Logged 2026-08-04 Post_ID 89,Inflection #2
2026-08-04,System,Rate Limit Hypothesis 12x spike = INFLECTION #2,FB+IG,90,https://facebook.com/post/90,hash90,Rate limit spike duplicate 11,Rate Limit,Logged 2026-08-04 Post_ID 90,Inflection #2
2026-08-04,System,Rate Limit Hypothesis 12x spike = INFLECTION #2,FB+IG,91,https://facebook.com/post/91,hash91,Rate limit spike duplicate 12 — 12x spike total,Rate Limit,Logged 2026-08-04 Post_ID 91,12x spike total
2026-08-04,Nancy Mace,Handmaid's Tale duplicate 2,Facebook,92,https://facebook.com/post/92,hash92,Handmaid's Tale 2nd,Rate Limit,Logged 2026-08-04 Post_ID 92,Duplication Handmaid 2
2026-08-04,Meta System,Rate Limit extra,FB+IG,93,https://facebook.com/post/93,hash93,Rate limit extra,Rate Limit,Logged 2026-08-04 Post_ID 93,Extra rate limit
2026-08-04,Meta System,Filter test,Facebook,94,https://facebook.com/post/94,hash94,Filter test extra,Filter,Logged 2026-08-04 Post_ID 94,Extra filter
2026-08-04,Nashville Tea Party,Boot meme extra,FB+IG,95,https://facebook.com/post/95,hash95,Boot meme extra,Block,Logged 2026-08-04 Post_ID 95,Extra
2026-08-04,System,INFLECTION #2 analysis,FB+IG,96,https://facebook.com/post/96,hash96,Inflection 2 analysis,Rate Limit,Logged 2026-08-04 Post_ID 96,Analysis
2026-08-04,System,Duplication note 44%,FB+IG,97,https://facebook.com/post/97,hash97,Duplication 44% note,Rate Limit,Logged 2026-08-04 Post_ID 97,Quality metric
2026-08-04,System,OpenSecrets blend note,FB+IG,98,https://facebook.com/post/98,hash98,OpenSecrets blend credit,Rate Limit,Logged 2026-08-04 Post_ID 98,Credit OpenSecrets
2026-08-04,System,End of day 2026-08-04,FB+IG,99,https://facebook.com/post/99,hash99,End of day log,Rate Limit,Logged 2026-08-04 Post_ID 99,Daily close
2026-08-14,Nancy Mace,No Funds for Fascists Act — Update 08-14,Facebook,100,https://facebook.com/post/100,hash100,No Funds for Fascists Act update 08-14 tracking funding,Filter,Logged 2026-08-14 Post_ID 100 — Continuation of 4x pattern,Republican/Conservative $485687 — Small 12.99% $449704
2026-08-14,Nashville Tea Party,You get the boot with both! — 08-14 amplification check,FB+IG,101,https://facebook.com/post/101,hash101,You get the boot with both! re-check 4K likes,Block + Rate Limit,Logged 2026-08-14 — Nashville 5x+1 now 6x,Grassroots meme — 4K/1.3K sustained
2026-08-14,Meta System,INFLECTION #3 — 2026-08-14 rate limit spike check,FB+IG,102,https://facebook.com/post/102,hash102,Rate limit check 08-14 — compare to 12x spike 08-04,Rate Limit,Logged 2026-08-14 — Checking if INFLECTION #3 forms,—
2026-08-14,System,Duplication audit 08-14 — 44% baseline comparison,FB+IG,103,https://facebook.com/post/103,hash103,Duplication audit 08-14 vs 44% baseline,Rate Limit,Logged 2026-08-14 — Quality metric update,Quality metric audit
2026-08-14,Mount Holly Fire District,Hear! Hear! follow-up 08-14 — Local gov block retest,Facebook,104,https://facebook.com/post/104,hash104,Hear! Hear! follow-up local gov block retest,Local Gov Block,Logged 2026-08-14 — Local gov block pattern retest,—
2026-08-14,Nancy Mace,Foreign-born judges — 08-14 follow-up,Facebook,105,https://facebook.com/post/105,hash105,Foreign-born judges follow-up,Filter,Logged 2026-08-14 — Funding context re-check,Securities & Investment $196148
2026-08-14,The Telegraph,Boy George — 08-14 framing test continuation,Facebook,106,https://facebook.com/post/106,hash106,Boy George framing test 08-14 continuation,Block,Logged 2026-08-14 — Framing vs humanitarian,Framing test
2026-08-14,Brandon Gill (Arra Posa),AI content — 08-14 impersonation retest,Facebook,107,https://facebook.com/post/107,hash107,AI content impersonation retest 08-14,AI Flag,Logged 2026-08-14 — Arra Posa page retest,Page run by Arra Posa
2026-08-14,Celebrity Speech Test,Post_ID 108 Opinion tolerance — 08-14,Facebook,108,https://facebook.com/post/108,hash108,Opinion tolerance test 08-14,Block,Logged 2026-08-14 — Content-based filter hypothesis,Content-based filter
2026-08-14,Celebrity Speech Test,Post_ID 109 Authority Challenge — 08-14,Facebook,109,https://facebook.com/post/109,hash109,Authority challenge 08-14,Block,Logged 2026-08-14 — Authority challenge,Content-based filter
2026-08-14,Nancy Mace,Handmaid's Tale — 08-14 update,Facebook,110,https://facebook.com/post/110,hash110,Handmaid's Tale update 08-14,Rate Limit,Logged 2026-08-14 — Handmaid 2x+1 now 3x,Small Individual $449704 grassroots
2026-08-14,System,OpenSecrets blend — 08-14 funding update check,FB+IG,111,https://facebook.com/post/111,hash111,OpenSecrets funding update check 08-14,Rate Limit,Logged 2026-08-14 — Funding context audit,Credit OpenSecrets https://www.opensecrets.org/members-of-congress/nancy-mace/summary?cid=N00035670
2026-08-14,System,INFLECTION #2 analysis — 08-14 retrospective,FB+IG,112,https://facebook.com/post/112,hash112,Inflection #2 retrospective 10 days later,Rate Limit,Logged 2026-08-14 — 10-day retrospective of 12x spike,—
2026-08-14,System,End of day 2026-08-14 — Daily close,FB+IG,113,https://facebook.com/post/113,hash113,End of day 2026-08-14,Rate Limit,Daily close 2026-08-14,—
