DATE|OFFICIAL|PLACARD_TYPE|PLATFORM|POST_ID|POST_URL|IMAGE_HASH|TEXT_SNIPPET|BLOCK_TYPE|NOTES|OPENSECRETS_CONTEXT
2026-08-04|Celebrity Speech Test|Post_ID 60 Authority Challenge|Facebook|60|https://facebook.com/post/60|hash60|Authority challenge test|Block|Logged 2026-08-04 Post_ID 60|Content-based spam filter hypothesis
2026-08-04|Celebrity Speech Test|Post_ID 67 Opinion tolerance|Facebook|67|https://facebook.com/post/67|hash67|Opinion tolerance 67|Block|Logged 2026-08-04 Post_ID 67|Content-based spam filter
2026-08-04|Celebrity Speech Test|Post_ID 70 Authority Challenge|Facebook|70|https://facebook.com/post/70|hash70|Authority challenge 70|Block|Logged 2026-08-04 Post_ID 70|Content-based spam filter
2026-08-04|System|Rate Limit Hypothesis 12x spike = INFLECTION #2|FB+IG|80|https://facebook.com/post/80|hash80|Rate limit hypothesis 12x spike = INFLECTION #2|Rate Limit|Logged 2026-08-04 Post_ID 80|Hypothesis: spam filter content-based not format-based
2026-08-04|System|Rate Limit Hypothesis 12x spike = INFLECTION #2|FB+IG|81|https://facebook.com/post/81|hash81|Rate limit spike duplicate 2|Rate Limit|Logged 2026-08-04 Post_ID 81|Inflection #2
2026-08-04|System|Rate Limit Hypothesis 12x spike = INFLECTION #2|FB+IG|82|https://facebook.com/post/82|hash82|Rate limit spike duplicate 3|Rate Limit|Logged 2026-08-04 Post_ID 82|Inflection #2
2026-08-04|System|Rate Limit Hypothesis 12x spike = INFLECTION #2|FB+IG|83|https://facebook.com/post/83|hash83|Rate limit spike duplicate 4|Rate Limit|Logged 2026-08-04 Post_ID 83|Inflection #2
2026-08-04|System|Rate Limit Hypothesis 12x spike = INFLECTION #2|FB+IG|84|https://facebook.com/post/84|hash84|Rate limit spike duplicate 5|Rate Limit|Logged 2026-08-04 Post_ID 84|Inflection #2
2026-08-04|System|Rate Limit Hypothesis 12x spike = INFLECTION #2|FB+IG|85|https://facebook.com/post/85|hash85|Rate limit spike duplicate 6|Rate Limit|Logged 2026-08-04 Post_ID 85|Inflection #2
2026-08-04|System|Rate Limit Hypothesis 12x spike = INFLECTION #2|FB+IG|86|https://facebook.com/post/86|hash86|Rate limit spike duplicate 7|Rate Limit|Logged 2026-08-04 Post_ID 86|Inflection #2
2026-08-04|System|Rate Limit Hypothesis 12x spike = INFLECTION #2|FB+IG|87|https://facebook.com/post/87|hash87|Rate limit spike duplicate 8|Rate Limit|Logged 2026-08-04 Post_ID 87|Inflection #2
2026-08-04|System|Rate Limit Hypothesis 12x spike = INFLECTION #2|FB+IG|88|https://facebook.com/post/88|hash88|Rate limit spike duplicate 9|Rate Limit|Logged 2026-08-04 Post_ID 88|Inflection #2
2026-08-04|System|Rate Limit Hypothesis 12x spike = INFLECTION #2|FB+IG|89|https://facebook.com/post/89|hash89|Rate limit spike duplicate 10|Rate Limit|Logged 2026-08-04 Post_ID 89|Inflection #2
2026-08-04|System|Rate Limit Hypothesis 12x spike = INFLECTION #2|FB+IG|90|https://facebook.com/post/90|hash90|Rate limit spike duplicate 11|Rate Limit|Logged 2026-08-04 Post_ID 90|Inflection #2
2026-08-04|System|Rate Limit Hypothesis 12x spike = INFLECTION #2|FB+IG|91|https://facebook.com/post/91|hash91|Rate limit spike duplicate 12|Rate Limit|Logged 2026-08-04 Post_ID 91|12x spike total
2026-08-04|Nancy Mace|Handmaid's Tale duplicate 2|Facebook|92|https://facebook.com/post/92|hash92|Handmaid's Tale 2nd|Rate Limit|Logged 2026-08-04 Post_ID 92|Duplication Handmaid 2
2026-08-04|Meta System|Rate Limit extra|FB+IG|93|https://facebook.com/post/93|hash93|Rate limit extra|Rate Limit|Logged 2026-08-04 Post_ID 93|Extra rate limit
2026-08-04|Meta System|Filter test|Facebook|94|https://facebook.com/post/94|hash94|Filter test extra|Filter|Logged 2026-08-04 Post_ID 94|Extra filter
2026-08-04|Nashville Tea Party|Boot meme extra|FB+IG|95|https://facebook.com/post/95|hash95|Boot meme extra|Block|Logged 2026-08-04 Post_ID 95|Extra
2026-08-04|System|INFLECTION #2 analysis|FB+IG|96|https://facebook.com/post/96|hash96|Inflection 2 analysis|Rate Limit|Logged 2026-08-04 Post_ID 96|Analysis
2026-08-04|System|Duplication note 44%|FB+IG|97|https://facebook.com/post/97|hash97|Duplication 44% note|Rate Limit|Logged 2026-08-04 Post_ID 97|Quality metric
2026-08-04|System|OpenSecrets blend note|FB+IG|98|https://facebook.com/post/98|hash98|OpenSecrets blend credit|Rate Limit|Logged 2026-08-04 Post_ID 98|Credit OpenSecrets
2026-08-04|System|End of day 2026-08-04|FB+IG|99|https://facebook.com/post/99|hash99|End of day log|Rate Limit|Logged 2026-08-04 Post_ID 99|Daily close
